,Game,AgeRestriction,GameDescription,Reviews,ReviewSentiment,ReleaseDate,Developer,FullPrice,DiscountedPrice,PEGI,MetacriticScore,Type,LastUpdate,GamesLanguages,GameFeatures,DRM Notice,GameAchievements,CuratorReviews
12,STAR WARS Jedi: Survivor™,No,"A história de Cal Kestis continua em STAR WARS Jedi: Survivor™, uma aventura em terceira pessoa na galáxia.",,,27/abr./2023,Respawn,"R$ 299,00",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/14.png,,"Ação, Aventura",,Ver todos os 12 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Legendas disponíveis",Requer aceitação de contrato de terceiros,0,62 curadores analisaram este produto. Clique aqui para saber quais.
13,ELDEN RING,Yes,"O NOVO RPG DE AÇÃO E FANTASIA. Levante-se, Maculado, e seja guiado pela graça para portar o poder do Anel Prístino e se tornar um Lorde Prístino nas Terras Intermédias.","Análises em geral:
Muito positivas (497,992 análises)",Muito positivas,24/fev./2022,FromSoftware Inc.,"R$ 249,90",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/16.png,94,"Ação, RPG",Ver todas as atualizações (última: 23 de mar.),Ver todos os 14 idiomas disponíveis,"Um jogador
JxJ on-line
Cooperativo on-line
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Nuvem Steam",Requer aceitação de contrato de terceiros,Inclui 42 Conquistas Steam,867 curadores analisaram este produto. Clique aqui para saber quais.
14,Total War: WARHAMMER III,Yes,"O final cataclísmico da trilogia Total War: WARHAMMER chegou. Reúna seus exércitos e adentre o Reino do Caos, uma dimensão de terrores enlouquecedores, onde será decidido o destino do mundo. Você dominará os seus demônios... ou os comandará?","Análises em geral:
Ligeiramente positivas (48,504 análises)",Ligeiramente positivas,17/fev./2022,"CREATIVE ASSEMBLY, Feral Interactive","R$ 252,00",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/12.png,85,"Ação, Estratégia",Ver todas as atualizações (última: 16 de fev.),Ver todos os 13 idiomas disponíveis,"Um jogador
JxJ on-line
JxJ em rede local (LAN)
Cooperativo on-line
Coop. em rede local (LAN)
Conquistas Steam
Cartas Colecionáveis Steam
Nuvem Steam",Requer aceitação de contrato de terceiros,Inclui 106 Conquistas Steam,188 curadores analisaram este produto. Clique aqui para saber quais.
15,Total War: WARHAMMER III - Forge of the Chaos Dwarfs,Yes,,,,13/abr./2023,"CREATIVE ASSEMBLY, Feral Interactive","R$ 110,00","R$ 99,00",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/12.png,,"Ação, Estratégia",Ver todas as atualizações (última: 16 de fev.),Ver todos os 12 idiomas disponíveis,"Um jogador
JxJ on-line
JxJ em rede local (LAN)
Cooperativo on-line
Coop. em rede local (LAN)
Conteúdo adicional
Conquistas Steam
Cartas Colecionáveis Steam",Not required,0,4 curadores analisaram este produto. Clique aqui para saber quais.
16,Wallpaper Engine,No,Use planos de fundo animados deslumbrantes na sua área de trabalho. Faça a animação das suas próprias imagens para criar novos planos de fundo ou importe vídeos/websites e compartilhe-os na Oficina Steam!,"Análises em geral:
Extremamente positivas (590,648 análises)",Extremamente positivas,nov. 2018,Wallpaper Engine Team,"R$ 9,99",0,,,"Casual, Indie, Animação e modelagem, Design e ilustração, Edição de fotos, Utilitários",,Ver todos os 23 idiomas disponíveis,"Conquistas Steam
Cartas Colecionáveis Steam
Oficina Steam
Inclui editor de níveis",Requer aceitação de contrato de terceiros,Inclui 17 Conquistas Steam,842 curadores analisaram este produto. Clique aqui para saber quais.
17,Project Zomboid,Yes,"Project Zomboid is the ultimate in zombie survival. Alone or in MP: you loot, build, craft, fight, farm and fish in a struggle to survive. A hardcore RPG skillset, a vast map, massively customisable sandbox and a cute tutorial raccoon await the unwary. So how will you die? All it takes is a bite..","Análises em geral:
Muito positivas (145,040 análises)",Muito positivas,8/nov./2013,The Indie Stone,"R$ 59,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/14.png,,"Indie, RPG, Simulação, Acesso Antecipado",Ver todas as atualizações (última: 8 de dez. de 2022),Ver todos os 21 idiomas disponíveis,"Um jogador
JxJ on-line
Cooperativo on-line
Coop. tela dividida/compart.
Multijogador multiplataforma
Cartas Colecionáveis Steam
Oficina Steam
Compat. parcial com controle
Remote Play Together",Requer aceitação de contrato de terceiros,Itens disponíveis na loja de pontos,742 curadores analisaram este produto. Clique aqui para saber quais.
18,Stardew Valley,Yes,"Você herdou a antiga fazenda do seu avô, em Stardew Valley. Com ferramentas de segunda-mão e algumas moedas, você parte para dar início a sua nova vida. Será que você vai aprender a viver da terra, a transformar esse matagal em um próspero lar?","Análises em geral:
Extremamente positivas (471,054 análises)",Extremamente positivas,26/fev./2016,ConcernedApe,"R$ 24,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/12.png,89,"Indie, RPG, Simulação",,Ver todos os 12 idiomas disponíveis,"Um jogador
Cooperativo on-line
Coop. em rede local (LAN)
Coop. tela dividida/compart.
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Nuvem Steam
Remote Play no celular
Remote Play no tablet
Remote Play Together",Not required,Inclui 40 Conquistas Steam,"2,259 curadores analisaram este produto. Clique aqui para saber quais."
19,X4: Foundations,Yes,"X4: FOUNDATIONS traz para você nossa mais sofisticada SIMULAÇÃO de universo já feita. Voe em todas as naves, EXPLORE o espaço ou gerencie um império; NEGOCIE, LUTE, CONSTRUA e PENSE cuidadosamente enquanto você embarca em uma jornada épica.","Análises em geral:
Ligeiramente positivas (13,290 análises)",Ligeiramente positivas,30/nov./2018,Egosoft,"R$ 134,99","R$ 67,49",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/14.png,,"Ação, Simulação, Estratégia",Ver todas as atualizações (última: hoje),Ver todos os 13 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Oficina Steam
Nuvem Steam",Not required,Inclui 121 Conquistas Steam,142 curadores analisaram este produto. Clique aqui para saber quais.
20,New World,No,"Explore um MMO de mundo aberto emocionante e cheio de perigos e oportunidades, onde você irá forjar um novo destino na ilha sobrenatural de Aeternum.","Análises em geral:
Neutras (216,928 análises)",Ligeiramente positivas,28/set./2021,Amazon Games,"R$ 107,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/14.png,70,"Ação, Aventura, Multijogador Massivo, RPG",Ver todas as atualizações (última: ontem),Ver todos os 8 idiomas disponíveis,"MMO
JxJ on-line
Cooperativo on-line
Conquistas Steam
Compras em aplicativo",Requer aceitação de contrato de terceiros,Inclui 133 Conquistas Steam,397 curadores analisaram este produto. Clique aqui para saber quais.
21,DREDGE,Yes,"DREDGE é uma aventura de pescaria para um jogador com um toque sinistro. Venda seu pescado, melhore seu barco e escave as profundezas em busca de segredos antigos. Explore um arquipélago misterioso e descubra por que certas coisas deveriam ser esquecidas.","Análises em geral:
Extremamente positivas (5,722 análises)",Extremamente positivas,30/mar./2023,Black Salt Games,"R$ 89,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/14.png,,"Aventura, RPG",Ver todas as atualizações (última: 6 de abr.),Ver todos os 11 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Nuvem Steam",Not required,Inclui 40 Conquistas Steam,97 curadores analisaram este produto. Clique aqui para saber quais.
22,Sons Of The Forest,Yes,"Sent to find a missing billionaire on a remote island, you find yourself in a cannibal-infested hellscape. Craft, build, and struggle to survive, alone or with friends, in this terrifying new open-world survival horror simulator.","Análises em geral:
Muito positivas (109,331 análises)",Muito positivas,23/fev./2023,Endnight Games Ltd,"R$ 88,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/16.png,,"Ação, Aventura, Indie, Simulação, Acesso Antecipado",Ver todas as atualizações (última: 6 de abr.),Ver todos os 16 idiomas disponíveis,"Um jogador
Cooperativo on-line
Conquistas Steam
Compat. total com controle
Nuvem Steam",Not required,Inclui 28 Conquistas Steam,216 curadores analisaram este produto. Clique aqui para saber quais.
23,,No,,,,,,,0,,,,,1,,Not required,0,0
24,Tales of Arise,No,300 anos de tirania. Uma máscara misteriosa. Dor e memórias perdidas. Empunhe a Espada Flamejante e se una a uma jovem intocável para enfrentar os opressores. Viva uma história de libertação com personagens caprichados nos gráficos de nova geração!,"Análises em geral:
Muito positivas (21,655 análises)",Muito positivas,9/set./2021,Bandai Namco Studios Inc.,"R$ 379,49","R$ 99,79",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/14.png,84,"Ação, RPG",,Ver todos os 12 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Nuvem Steam",Requer aceitação de contrato de terceiros,Inclui 47 Conquistas Steam,200 curadores analisaram este produto. Clique aqui para saber quais.
25,Remnant: From the Ashes,Yes,"The world has been thrown into chaos by an ancient evil from another dimension. As one of the last remnants of humanity, you must set out alone or alongside up to two other survivors to face down hordes of deadly enemies to try to carve a foothold, rebuild, and retake what was lost.","Análises em geral:
Muito positivas (37,640 análises)",Muito positivas,20/ago./2019,Gunfire Games,"R$ 75,49","R$ 30,19",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/16.png,78,"Ação, Aventura, RPG",,Ver todos os 9 idiomas disponíveis,"Um jogador
Cooperativo on-line
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Nuvem Steam
Remote Play no tablet
Remote Play na TV",Not required,Inclui 50 Conquistas Steam,338 curadores analisaram este produto. Clique aqui para saber quais.
26,Borderlands 3,Yes,"O jogo de tiro e saque original voltou, trazendo milhares de armas e uma nova aventura movida a caos! Exploda novos inimigos em mundos inéditos como um dos quatro Caça-Arcas novos, com árvores de talentos, habilidades e personalização robustas.","Análises em geral:
Muito positivas (90,521 análises)",Muito positivas,13/mar./2020,Gearbox Software,"R$ 179,90","R$ 17,98",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/16.png,81,"Ação, RPG",,Ver todos os 11 idiomas disponíveis,"Um jogador
Cooperativo on-line
Coop. em rede local (LAN)
Multijogador multiplataforma
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Nuvem Steam
Remote Play no celular
Remote Play no tablet
Remote Play na TV",Requer aceitação de contrato de terceiros,Inclui 81 Conquistas Steam,552 curadores analisaram este produto. Clique aqui para saber quais.
27,Rust,Yes,"The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife and other inhabitants, the environment, other survivors. Do whatever it takes to last another night.","Análises em geral:
Muito positivas (739,775 análises)",Muito positivas,8/fev./2018,Facepunch Studios,"R$ 103,49",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/18.png,69,"Ação, Aventura, Indie, Multijogador Massivo, RPG",Ver todas as atualizações (última: 6 de abr.),Ver todos os 25 idiomas disponíveis,"MMO
JxJ on-line
Cooperativo on-line
Multijogador multiplataforma
Conquistas Steam
Cartas Colecionáveis Steam
Oficina Steam
Compras em aplicativo
Usa Valve Antitrapaça
Estatísticas
Remote Play no tablet",Requer aceitação de contrato de terceiros,Inclui 90 Conquistas Steam,"3,182 curadores analisaram este produto. Clique aqui para saber quais."
28,Curse of the Dead Gods,No,"You seek untold riches, eternal life, divine powers - it leads to this accursed temple, a seemingly-infinite labyrinth of bottomless pits, deadly traps, and monsters.","Análises em geral:
Muito positivas (5,739 análises)",Muito positivas,23/fev./2021,Passtech Games,"R$ 69,90","R$ 27,96",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/14.png,,"Ação, Aventura",,Ver todos os 11 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Nuvem Steam
Remote Play na TV",Requer aceitação de contrato de terceiros,Inclui 30 Conquistas Steam,178 curadores analisaram este produto. Clique aqui para saber quais.
29,Wolcen: Lords of Mayhem,Yes,A dynamic hack’n’slash with no class restrictions. Choose your path as you level-up and play your character the way you want! Explore this shattered and corrupted world to uncover its ancient secrets and hidden truths.,"Análises em geral:
Neutras (59,624 análises)",Neutras,13/fev./2020,WOLCEN Studio,"R$ 75,49","R$ 18,87",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/16.png,60,"Ação, Aventura, Indie, RPG",Ver todas as atualizações (última: 5 de abr.),Ver todos os 9 idiomas disponíveis,"Um jogador
Cooperativo on-line
Compat. parcial com controle",Not required,Inclui 64 Conquistas Steam,160 curadores analisaram este produto. Clique aqui para saber quais.
30,Battlefield 4™,Yes,Domine o campo de batalha com os extras do Premium,"Análises em geral:
Muito positivas (42,804 análises)",Muito positivas,29/out./2013,DICE,"R$ 199,00","R$ 49,75",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/16.png,,Ação,,Ver todos os 12 idiomas disponíveis,"Um jogador
JxJ on-line
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam",Requer aceitação de contrato de terceiros,Inclui 67 Conquistas Steam,224 curadores analisaram este produto. Clique aqui para saber quais.
31,iRacing,No,"We are the world’s premier motorsports racing game. An iRacing membership provides entry into the newest form of motorsport: internet racing. Internet racing is a fun, easy, and inexpensive way for race fan and gamers alike to enjoy the thrill of the racetrack from the comfort of their home.","Análises em geral:
Muito positivas (1,608 análises)",Muito positivas,12/jan./2015,"iRacing.com Motorsport Simulations,","R$ 37,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/l.png,79,"Multijogador Massivo, Corrida, Simulação, Esportes",Ver todas as atualizações (última: 6 de abr.),1,"Um jogador
MMO
JxJ on-line
Compat. parcial com controle",Not required,0,97 curadores analisaram este produto. Clique aqui para saber quais.
32,Terraria,No,"Dig, fight, explore, build! Nothing is impossible in this action-packed adventure game. Four Pack also available!","Análises em geral:
Extremamente positivas (886,884 análises)",Extremamente positivas,16/mai./2011,Re-Logic,"R$ 19,99",0,,83,"Ação, Aventura, Indie, RPG",,Ver todos os 9 idiomas disponíveis,"Um jogador
JxJ on-line
Cooperativo on-line
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Nuvem Steam
Remote Play no celular
Remote Play no tablet
Remote Play na TV",Not required,Inclui 115 Conquistas Steam,"5,484 curadores analisaram este produto. Clique aqui para saber quais."
33,Battlefield™ V,No,"Essa é a experiência definitiva de Battlefield V. Entre no maior conflito da humanidade com o arsenal completo de armas, veículos e dispositivos, além do melhor conteúdo de personalização dos Anos 1 e 2.","Análises em geral:
Ligeiramente positivas (130,889 análises)",Neutras,9/nov./2018,DICE,"R$ 229,00","R$ 57,25",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/16.png,,Ação,,Ver todos os 14 idiomas disponíveis,"Um jogador
JxJ on-line
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam",Requer aceitação de contrato de terceiros,Inclui 21 Conquistas Steam,233 curadores analisaram este produto. Clique aqui para saber quais.
34,Mega Man Battle Network Legacy Collection Vol. 2,No,"A renomada série Mega Man Battle Network, que se expandiu para anime e quadrinhos, está de volta. O Volume 2 inclui seis jogos cheios de ação, com as duas versões de Mega Man Battle Network 4, 5 e 6, além de novidades como uma galeria e jogo online!",,,13/abr./2023,"CAPCOM Co., Ltd.","R$ 199,90",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/10.png,,"Ação, RPG",,1,"Um jogador
JxJ on-line
Conquistas Steam
Compat. total com controle
Nuvem Steam",Requer aceitação de contrato de terceiros,0,13 curadores analisaram este produto. Clique aqui para saber quais.
35,Cuphead,No,"Cuphead é um jogo de ação e tiros clássico, com enorme ênfase nas batalhas de chefes. Inspirado nas animações infantis da década de 1930, os visuais e efeitos sonoros foram minuciosamente recriados com as mesmíssimas técnicas dessa era, com destaque para desenhos feitos à mão, fundos em aquarela e gravações originais de jazz.","Análises em geral:
Extremamente positivas (119,154 análises)",Extremamente positivas,29/set./2017,Studio MDHR Entertainment Inc.,"R$ 36,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/10.png,88,"Ação, Indie",,Ver todos os 12 idiomas disponíveis,"Um jogador
Coop. tela dividida/compart.
Conquistas Steam
Compat. total com controle
Cartas Colecionáveis Steam
Nuvem Steam
Remote Play no celular
Remote Play no tablet
Remote Play na TV
Remote Play Together",Not required,Inclui 42 Conquistas Steam,"1,045 curadores analisaram este produto. Clique aqui para saber quais."
36,Ready or Not,Yes,"Ready or Not é um jogo de tiro em primeira pessoa, intenso, tático e atual. Nele, as unidades policiais da SWAT são chamadas para controlar situações de hostilidade e de confronto.","Análises em geral:
Muito positivas (82,671 análises)",Muito positivas,17/dez./2021,VOID Interactive,"R$ 89,99",0,https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/18.png,,"Ação, Aventura, Indie, Acesso Antecipado",Ver todas as atualizações (última: 19 de jan.),Ver todos os 6 idiomas disponíveis,"Um jogador
Cooperativo on-line
Nuvem Steam",Not required,Inclui 1 Conquistas Steam,337 curadores analisaram este produto. Clique aqui para saber quais.
37,DEATH STRANDING DIRECTOR'S CUT,No,"Do lendário diretor Hideo Kojima, surge uma experiência que desafia gêneros, ainda maior em DIRECTOR’S CUT. Jogando como Sam Bridges, sua missão é entregar esperança à humanidade ao conectar os sobreviventes de uma América devastada. Você conseguirá reunir este mundo destruído, um passo de cada vez?","Análises em geral:
Muito positivas (12,513 análises)",Muito positivas,30/mar./2022,KOJIMA PRODUCTIONS,"R$ 39,99","R$ 19,99",https://store.cloudflare.steamstatic.com/public/shared/images/game_ratings/DEJUS/14.png,85,"Ação, Aventura",,Ver todos os 20 idiomas disponíveis,"Um jogador
Conquistas Steam
Compat. total com controle
Nuvem Steam",Requer aceitação de contrato de terceiros,Inclui 63 Conquistas Steam,239 curadores analisaram este produto. Clique aqui para saber quais.
